,ens_1,ens_2,ens_3,ens_4,ens_5,ens_6,ens_7,ens_8,ens_9,ens_10
2025-05-02,3337068.4515689015,3319819.0960689015,3449478.6705689044,3490087.3215689063,3132619.6355689005,3398870.086068903,3404357.022568903,3463501.1030689045,3521029.4950689063,3313367.7770689023
2025-05-03,3445278.7515416397,3411675.2940416364,3250864.258541637,3396887.481541637,3696991.1965416335,3487160.5720416387,3442464.9040416377,3386811.744541637,3528564.5125416433,3561078.0145416344
2025-05-04,3570064.223812876,3530337.7438128786,3480932.907812878,3512984.872312871,3621787.910812876,3455865.985812879,3434610.485312874,3589745.4738128763,3363789.259812876,3539813.0193128735
2025-05-05,3501043.683942121,3575863.9039421175,3354134.6404421157,3172900.626942123,3345720.8849421213,3500044.5214421214,3575863.9039421175,3590473.855942118,3468869.8714421215,3267650.084442124
2025-05-06,3520563.620340135,3286584.9768401356,3308001.4628401347,3501498.761840133,3292119.118340132,3311269.290340129,3268532.3168401374,3271875.954340135,3273759.9918401362,3125914.4743401366
2025-05-07,3330562.646329712,3514291.215329717,3546573.1628297186,3650254.872829716,3605018.3363297177,3613240.055329713,3635535.653329719,3585145.178829716,3512466.344829716,3194610.49732972
2025-05-08,3591881.967135889,3544145.817635889,3136649.84263589,3254181.781635896,3559117.420135886,3466026.19063589,3450344.5656358907,3531290.847635885,3566638.8696358865,3450344.5656358907
2025-05-09,3508534.595418006,3540174.2474180106,3343693.2189180125,3404798.312418009,3390145.6429180126,3465084.3804180124,3463264.231918013,3558142.211418012,3497530.39091801,3527914.120418004
2025-05-10,3389947.085736985,3385640.810736987,3536007.9477369813,3314566.972736988,3542703.3677369915,3471251.564236988,3315416.341736989,3473249.2497369885,3538919.0042369864,3444414.405236985
2025-05-11,3643242.4337992463,3351523.0802992485,3331659.9802992432,3397519.7207992463,3488617.671299245,3293635.802799244,3210794.540299242,3116252.0667992462,3456753.854299254,3388314.6182992463
2025-05-12,3493752.676919722,3489675.4519197233,3550920.909419726,3540971.313919729,3427517.6979197245,3444246.19441973,3440182.281419727,3518432.4709197236,3317110.5359197287,3138939.0239197304
2025-05-13,3134293.039674452,3347920.844174459,3456187.916674451,3258016.113674459,3200274.7316744514,3476249.622674458,3539844.495174451,3482430.7041744557,3349437.645674453,3008046.357674457
2025-05-14,3324791.8351410846,3374638.792641088,3390491.054641088,3572878.122641083,3808328.0586410873,3473270.3336410867,3171662.3601410883,3405801.445141089,3433212.523641087,3289922.3756410885
2025-05-15,3168238.701640066,3596385.6171400696,3518944.1736400616,3504935.450140072,3080431.8566400697,3377463.8301400705,3489152.49314007,3126075.9516400727,3376829.3876400664,3415123.674140065
2025-05-16,3402186.237100545,3385684.8306005434,3434677.3216005457,3610667.7011005473,3502240.8036005483,3405121.2526005427,3502240.8036005483,3406975.195600548,3414499.880600548,3267404.194600548
2025-05-17,3232228.2255923995,3137704.138592397,3577654.8005923983,3310870.9050923926,3247158.113092397,3032744.483592399,3223208.128092398,3409441.5255923993,3470723.1875923984,3239465.6815923955
2025-05-18,3570053.479241368,3416063.5352413678,3548655.571241369,3559826.8992413618,3173180.692241364,3416063.5352413678,3281758.2362413644,3428625.649741362,3371650.4592413637,3608674.280741362
2025-05-19,3467267.4438484246,3666637.8438484254,3449781.767348429,3385652.5558484253,3369322.0258484227,3557927.8588484284,3416982.514348426,3329487.757848428,3323374.337348426,3501938.1683484204
2025-05-20,3367871.082110961,3328470.101610956,3570972.654610961,3124235.32111096,3539609.5991109563,3543641.061110956,3159223.761610964,3540158.630610963,3428158.9286109563,3538840.4531109515
2025-05-21,3382694.776480478,3501385.92098048,3443480.1059804787,3335156.9374804846,3441987.036480485,3481208.4799804823,3590042.4069804777,3657681.021480481,3320555.0679804836,3566802.343480483
2025-05-22,3386263.362691508,3163198.2026915103,3690224.1261915034,3385485.914191507,3273857.5411915015,3498122.3316915063,3576372.521191503,3259453.3831915096,3433546.5756915063,3444751.6831914997
2025-05-23,3405539.3334350646,3335197.275435073,3307101.639435073,3421117.6054350743,3454859.9279350666,3517010.3564350666,3601525.3669350725,3627478.690435069,3429318.5789350737,3469436.2989350725
2025-05-24,3523684.080380005,3606017.8388799983,3431393.966380001,3548080.298880005,3605415.5578800007,3538959.898380001,3406892.9538800064,3548080.298880005,3560013.6518799947,3475122.944380004
2025-05-25,3533553.585176026,3302029.3881760295,3515781.653176027,3659309.9421760254,3401984.262176027,3436808.4421760244,3461963.3861760236,3417191.095176023,3287241.8346760306,3526203.754176027
2025-05-26,3521448.115471099,3486220.488971097,3614251.6404710975,3576717.2139710914,3511960.830471098,3368031.9069710984,3404157.415471098,3482513.740971097,3463082.035471097,3379097.1894710944
2025-05-27,3361898.7831241796,3355112.0256241793,3467721.2301241816,3284951.7336241785,3363144.3341241754,3422619.5406241766,3570119.8971241787,3354262.6566241784,3485040.859124179,3541474.111624179
2025-05-28,3366233.8808632856,3400075.034363285,3409999.7388632856,3541005.956863287,3664097.5838632844,3223045.0693632844,3514303.7688632854,3536006.6288632783,3563147.3023632793,3319726.648363284
2025-05-29,3542759.132868419,3488392.3713684245,3534041.0503684124,3550522.7683684253,3469437.7623684197,3570056.7043684227,3549424.9453684175,3314035.882868418,3493412.4008684237,3394151.486868415
2025-05-30,3388008.1683136933,3282244.1318136975,3533859.1288136966,3391045.4028136916,3540696.2143136957,3533859.1288136966,3363615.842813695,3315861.002313694,3370150.89231369,3484173.764813697
2025-05-31,3285061.744745135,3622187.6982451323,3500093.9742451287,3397770.4667451326,3266031.3342451286,3416900.106745129,3370594.943745132,3448487.4867451335,3465825.870745131,3309427.441245131
2025-06-01,3444491.0899038264,3507836.219903832,3523121.193403834,3550824.78390383,3463030.860903831,3187418.952903833,3327976.9994038325,3284867.0084038326,3562736.958903829,3320624.7649038313
2025-06-02,3154780.0495535596,3290345.518053552,3399805.460553557,3559971.5870535527,3389647.292053554,3541989.9270535554,3057374.9185535586,3418483.697053556,3456321.576553561,3427798.8200535555
2025-06-03,3629247.2691887594,3429057.248188762,3557191.5666887667,3279308.744688765,3639163.791688756,3482607.183188759,3525317.658688763,3248964.8961887634,3378289.8336887597,3419946.1841887604
2025-06-04,3396462.5460575386,3535191.4115575384,3253178.8575575375,3443359.1485575386,3234709.2865575342,3237276.292057534,3385541.6000575335,3273707.515057538,3427366.238557536,3470442.4880575323
2025-06-05,3357747.6524134246,3520966.8194134254,3274580.8139134194,3079677.301413424,3387428.2659134236,3381885.4469134244,3458635.1369134258,3425092.4514134196,3300893.8169134283,3336859.25241342
2025-06-06,3476602.779220826,3468998.8942208164,3453011.904220821,3191163.7082208167,3437043.0202208245,3071023.3592208237,3464921.6692208177,3424139.0872208118,3408722.7032208233,3420454.021720826
2025-06-07,3464623.9314038362,3240345.127403832,3223931.9254038376,3403383.176903838,3306528.470903831,3129388.024903841,3254562.036903835,3470556.424403829,3373514.3814038364,3103081.333403834
2025-06-08,3384328.8581666383,3155696.0166666424,3269296.1771666445,3271331.1531666424,3020930.866166641,3107272.23066664,3138379.6401666407,3219636.4041666393,3327049.6721666474,3238452.06066664
2025-06-09,3134379.300321916,3199732.5988219124,3057848.023321916,3280006.630821912,3375345.106321911,3374575.960321906,3108012.253321918,3283138.685321914,3240180.2833219147,3033651.6438219124
2025-06-10,3587730.358463352,3225459.0904633505,3210897.763463351,3464837.863963349,3495040.152963353,3382788.0704633417,3296988.497963356,3357745.3084633513,3448834.135963349,3175565.9249633467
2025-06-11,3178018.744628488,3337915.1736284927,3522349.9816284953,3429940.52412849,3197993.951628491,3106003.872128487,3266147.981128487,3075155.349128491,3304084.747628491,3349646.4921284956
2025-06-12,3299784.5694156107,2929749.1654156107,3233126.1199156055,3034344.2259156113,3203113.184915613,3424717.8499156153,3329735.329415613,3265098.103915607,3135725.6469156086,3701983.436415612
2025-06-13,3221567.6708361665,3312427.7993361643,3318581.2513361624,3295706.9203361627,3321663.9853361663,3294190.1188361687,3512520.024836162,3402498.1838361635,3401459.2883361666,3226687.2123361654
2025-06-14,3439832.6674746596,3281702.5524746533,3239160.962974657,3396739.4889746583,3204101.731474655,3203235.180974658,2970160.5249746563,3312315.4259746526,3228944.2349746535,3345827.5579746542
2025-06-15,3401679.1124431505,3141332.9164431514,3347562.9989431514,3393229.5894431514,3097295.6854431564,3451057.805943153,3279000.7234431496,3462386.0379431457,3176892.2749431496,3315293.5464431485
2025-06-16,3316524.4526411626,3441197.7581411656,3300153.4486411633,3138538.997141163,3300197.6671411647,3282071.5771411653,3077628.509141163,3267519.2651411667,3485415.7521411665,3434097.8616411625
2025-06-17,3451137.089341371,3302899.4838413703,3205655.5848413743,3437327.1243413715,3221607.3273413735,3437327.1243413715,3453441.8598413696,3548113.595341368,3197749.247341374,3364131.9108413714
2025-06-18,3437745.146103149,3318746.6711031455,3372117.319603152,3207020.731103149,3410681.887603147,3586091.2731031496,3364029.093103152,3163695.0711031556,3367216.128603151,3266083.67510315
2025-06-19,3292299.4418732873,3244619.714373291,3366966.315873287,3184722.3993732873,3516034.687373287,3372752.7053732853,3190939.6243732916,3362784.73137329,3394062.0888732886,3190800.894373285
2025-06-20,3074821.8160820515,3286418.8880820535,3305845.5165820564,3301594.2330820505,3449991.693582048,3252371.669082051,3413044.9035820505,3277431.8950820547,3303403.953582052,3548221.5505820517
2025-06-21,3367046.4803309636,3124313.618830964,3157756.6733309613,3482925.492330961,3554264.740830961,3157756.6733309613,3369288.6153309615,3311076.6608309583,3390542.930830959,3180122.7893309603
2025-06-22,3468547.5983215733,3447007.816821571,3191815.277321576,3176418.739821578,3282088.367821578,3284593.4583215765,3234978.87232158,2991275.8958215774,3374848.307821576,3412778.2968215784
2025-06-23,3503168.4450775324,3259362.340577536,3224138.725077538,3392463.087577533,3220155.800077539,3339361.4340775325,3367711.180077531,3395332.882077539,3256445.8940775334,3445439.407077539
2025-06-24,3429919.681447262,3323585.987447258,3333282.6724472647,3301212.5289472616,3340475.2589472616,3411097.7474472593,3341866.3099472634,3275024.6789472597,3269725.94244726,3282534.292447263
2025-06-25,3390959.591307946,3435478.5878079413,3402604.2523079463,3187531.0303079495,3326123.4748079493,3177757.4843079443,3435478.5878079413,3442174.0078079514,3187531.0303079495,3211896.726807946
2025-06-26,3359836.203272604,3188433.5667725997,3372356.3022726034,3114913.0582725992,3288358.440272601,3273524.2952726027,3282112.3997726063,3327956.2522726073,3108051.495272602,3457478.4352725996
2025-06-27,3174712.1685834224,3449814.451583423,3416672.6725834236,3332204.17758342,3234609.483583426,3469649.40058343,3234900.666583426,3253049.930583424,3296893.8380834223,3173684.4115834236
2025-06-28,3348212.9035819164,3010788.6750819194,3232246.9135819213,3296338.1735819145,3036571.4110819167,3423290.270081921,3348700.1925819144,3237760.5175819164,3233409.3005819153,3270525.6355819176
2025-06-29,3236374.4293095865,3278367.73980959,3361903.990309588,3069142.6113095856,3383518.511809591,3223720.88280959,3237511.2193095903,3380730.1373095885,3187113.7573095905,3278367.73980959
2025-06-30,3279164.6509652752,3428543.9119652775,3402542.308965275,3403644.4774652733,3176129.2574652736,3718826.8104652744,3279164.6509652752,3383717.470965269,3482169.98346528,3164250.6249652756
2025-07-01,3235499.8946820577,3193691.713682057,3440791.8606820623,3412862.2226820625,3206357.4491820573,3471630.8671820583,3261984.8276820583,3543789.736682055,3332026.33418206,3007282.8026820603
2025-07-02,3257204.459970274,3337488.834470275,3369250.812470278,2969856.4414702784,3211392.1889702785,3317247.9289702782,3541706.838970278,3403835.3104702756,3420276.5499702785,3348311.3484702785
2025-07-03,3389096.006178085,3436832.155678085,3353093.1586780855,3371162.401178087,3486898.1371780867,3238876.1831780863,3292656.959678083,3227119.829678088,3317129.831178084,3320285.9206780856
2025-07-04,3250682.4576702053,3334171.0826702076,2980758.3856702093,3196346.172170205,3432331.9976702053,3397635.0816702098,3334420.2001702106,3230201.254670208,3132210.6636702125,3287705.7931702067
2025-07-05,3287065.47203685,3273230.049536855,3286678.4190368517,3401233.4125368553,3398516.14253685,3454435.9240368563,3231096.195536855,3147331.3795368536,3476312.1690368564,3389944.773536853
2025-07-06,3260327.9929196616,3311171.79491966,3265395.442419661,3213646.2824196657,3295753.9679196593,3321784.3884196607,3429835.8324196623,3531810.062919658,3308903.9779196647,3319834.3319196617
2025-07-07,3211295.1149112326,3321107.8084112275,3229771.7419112395,3301241.786411229,3327144.7399112396,3302886.0944112344,3370370.757911236,3271554.335911235,3441506.4119112296,3383258.3139112354
2025-07-08,3453106.2361430186,3453106.2361430186,3162205.0796430167,3082851.5836430164,3229245.458143018,3180560.9196430147,3204616.191643012,3421872.08014302,3143894.95514302,3073629.881643016
2025-07-09,3178936.4186513713,3169679.55415137,3304372.2566513717,3326024.5366513734,3307504.3111513737,3196412.293651377,3261565.9481513747,3464987.651651373,3362959.6121513643,3415423.3041513786
2025-07-10,3291957.8422615086,3215129.1442615106,3183353.04276151,3198300.3537615133,3268082.5292615136,3574093.5302615147,3011731.9442615127,3438992.359761512,3362443.1317615113,3451564.5197615097
2025-07-11,3423879.809592337,3286757.157592331,3297009.4520923374,3355783.354092333,3322606.617592334,3229684.9940923336,3303991.4650923316,3227763.3110923376,3350882.163092332,2995202.0525923334
2025-07-12,3289770.9578056154,3369487.94830562,3376525.124805621,3419679.970305613,3375066.7038056212,3113335.55330562,3220086.775805612,3327087.818305617,3223720.4268056173,3466526.252305615
2025-07-13,3196148.555148085,3264052.207648085,3360314.865648083,3155823.139148081,3191029.013648086,3352965.034648084,3216391.7191480817,3393061.9766480788,3315444.452648083,3321469.2471480877
2025-07-14,3298621.9315948635,3103855.366094864,3342376.684094866,3649986.129094865,3348401.7165948628,3319191.863594864,2962215.125094867,3147558.2250948627,3348027.7460948634,3420915.463594861
2025-07-15,2963663.934676442,3305352.017176441,3385579.3006764418,2921180.0081764404,3239520.6631764374,3405922.112676439,3301965.669676434,3175580.2756764404,3283699.7371764393,3161454.9066764433
2025-07-16,3456903.6112499293,3148556.138249932,3339774.534249935,3194702.681749932,3383889.5997499335,3129290.6067499286,3326525.57724993,3212763.720249936,3127288.3727499354,3177714.3927499307
2025-07-17,3341748.305003564,3321258.4540035627,3366867.7105035554,3181162.6950035607,3308205.6195035577,3388999.5975035583,3388999.5975035583,3149532.0905035627,3197094.9625035627,3181948.243003559
2025-07-18,3386229.9291045195,3554652.2126045246,3338276.32410452,3381388.328604512,3386188.9366045166,3457888.7561045177,3500341.6251045186,3329989.970604522,3464015.440104516,3258222.778104516
2025-07-19,3370413.140224657,3393309.3922246573,3166847.905224656,3276183.0837246557,3246138.9692246616,3120531.8042246583,3316572.6542246556,3188900.3357246555,3643616.1327246563,3087088.749724661
2025-07-20,3243333.0872173305,3682995.2467173296,3229738.949717329,3353475.2137173284,3405565.9702173234,3292621.083217333,3443203.5637173336,3494744.366217329,3324738.029717329,3279050.381217333
2025-07-21,3312260.3997699977,3155620.009770001,3271086.5342700006,3335175.379769999,3301235.203269999,3320274.6462699976,3417631.8742700005,3021658.254769999,3322773.768269995,3335175.379769999
2025-07-22,3414863.5321993884,3246140.884699388,3275882.8466993817,3369255.553199378,3242223.363199386,3281652.523199388,3007137.2101993836,3429102.713199385,3375252.7841993803,3213123.1961993845
2025-07-23,3411760.1410747957,3259865.0750747933,3259204.2705747937,3184747.550074795,3312801.9105747915,3395763.5810747948,3329495.716074793,3537753.9800747912,3386297.7265747963,3334267.6590747917
2025-07-24,3259746.4269116395,3213350.3559116432,3052516.435411639,3231238.3209116417,3006295.738411641,3173980.952411645,3149605.536911639,3261265.7784116394,3103046.9974116455,3318424.519911639
2025-07-25,3009049.2463591755,3316368.933859175,3033096.2898591766,3316368.933859175,3400174.608859177,3383426.3023591726,3193168.376859174,3269979.196359169,3160820.2618591725,3269979.196359169
2025-07-26,3230465.2467467044,3355979.9897467094,3273756.341246708,3186297.461746715,2965445.308246713,3231982.42674671,3445708.3397467146,3448843.195746716,3325960.517246715,3256636.0512467083
2025-07-27,3314734.9084065687,3322515.246906575,3156061.3794065737,3039647.5049065733,3314357.3689065753,3322515.246906575,3486845.7049065754,3531919.3769065663,3348727.206906573,3324036.7584065762
2025-07-28,3369947.334774237,3036197.840274244,3264713.7167742457,3175514.2057742467,3148229.997274244,3198431.352274248,3102186.6047742385,3267677.4932742477,3320587.093774247,3435549.642774243
2025-07-29,3132462.828699996,3168389.5071999948,3333399.282199998,3464802.8736999948,3132462.828699996,3115134.745699997,3120677.400199993,3036883.1021999954,3265346.7261999957,3426173.758199992
2025-07-30,3171785.6230084915,3325541.901508488,3102935.861008488,3171409.6030084873,3483421.8905084957,3172782.368508492,3333561.8995084953,3126432.9675084925,3248266.1535084895,3090675.211008494
2025-07-31,3061517.555081371,3378499.6570813665,3157861.389081368,3065479.0035813726,3025860.9820813704,2991357.2630813704,3238265.230581364,3172754.0480813715,3135785.711081369,3142443.5620813677
2025-08-01,3150359.878058764,3156513.3300587623,3107646.278058764,3116563.2720587607,3173696.809058762,3227786.4390587634,3261100.3195587634,2979404.8810587614,3228785.601558763,3097675.8940587607
2025-08-02,3059903.690192051,3039429.4076920575,2968161.524692049,3147846.48669205,2980879.02669205,2826276.9491920522,3347947.174192053,3015923.0736920536,3010368.426192051,3117138.470692051
2025-08-03,3162980.7140325345,3022159.152032534,3130553.28953253,3283384.6680325367,3207638.1765325363,3329666.2860325333,3264484.9695325317,3222433.1620325334,3240291.4895325354,3198344.6625325354
2025-08-04,3003891.716012048,2988174.602512053,3155737.038512057,3256453.372512051,3091681.423012049,2773825.575512053,2982061.1820120513,3212292.7045120467,3007765.706512051,3123064.399012048
2025-08-05,3087974.2722399374,3040727.9642399335,3060345.311239935,3070222.742239937,3245943.3082399364,3069368.4037399366,3219989.9847399397,3072456.2397399372,2989050.1532399356,2979836.1662399424
2025-08-06,3064573.0318382164,3128956.0058382186,2994127.021338224,3202794.8698382257,3010224.2393382234,3000612.6498382213,3209402.9593382166,3125296.3503382285,3002190.257838226,3156912.38333822
2025-08-07,3344275.8937760945,3035295.4312760956,3013495.5662760986,3297698.542276093,3196016.5702760974,2886789.5772760967,2999937.8402760997,3202367.2387760966,2957133.4997760984,2937204.5707760947
2025-08-08,3122815.713009584,3161755.465509584,3110239.011009589,3170670.41900958,3243842.3795095836,3274044.6685095876,3052524.267509585,2736531.799509586,2932530.554009581,3155664.5915095797
2025-08-09,3282317.9481043066,3122854.5866043116,3141624.27260431,3035693.449104315,3185275.905104314,3278849.7341043116,3184345.1351043102,3126209.7616043095,3211182.294104313,3067431.819104313
2025-08-10,3176336.344821638,3108281.730821637,2887616.912321637,3076369.1863216367,3068502.552821639,2976596.3748216387,2992987.555821642,2982130.516321635,2949981.053321639,3070964.870321635
2025-08-11,2982503.840527875,3047218.955527875,3134856.2465278683,2886983.6375278784,3138350.1280278726,3276207.009527877,3180841.082027877,3124574.5315278727,3136435.0060278736,3406183.3415278792
2025-08-12,2925316.1199512263,3150956.284951222,2894341.870951229,3141992.3769512293,3034634.6934512234,3036386.7569512273,3003190.9509512293,3081252.341951229,3068227.812451223,2843944.408951229
2025-08-13,3326719.3735191794,3084231.1300191744,3118729.384019175,3264617.374519168,3142758.3300191746,2846456.342019178,3091461.755519172,3082280.510519177,2938309.5140191736,3283498.0455191764
2025-08-14,2811273.6638077996,2857004.618807797,2916038.8968078024,2930469.508307799,2815568.368807799,3125170.5028077983,2982884.4558078023,3081283.422807801,3028745.8888077987,2940054.9908078006
2025-08-15,3139942.168894652,2717296.6833946514,2929145.9308946524,3145593.2308946494,3189769.6368946494,3182248.187394649,3173189.1188946464,3220252.762394652,3148519.326394653,3064521.4643946504
2025-08-16,3074193.9955120506,3084847.0360120535,2977542.4030120485,3225628.6905120467,3320949.204512057,2942672.9435120523,2783003.2525120554,2936800.177512049,3091314.28551205,3093387.6435120516
2025-08-17,3198548.1249840353,3260239.9724840345,3048252.119484039,3185475.3064840348,3325022.0929840356,3001240.056484041,3075663.197984037,3215775.57448404,3068741.0569840367,2927694.404484039
2025-08-18,3202600.2194493115,2936728.0314493096,3155976.0059493156,2984020.593449317,3292678.99194931,3181595.512949316,3429899.070949311,3029651.386449315,3062208.0879493114,3097776.361449308
2025-08-19,3046627.981963493,3301138.1569634904,2779362.7679634923,3221271.4699634924,3105540.737463495,3078909.9294634946,3042768.135463494,3151819.484963493,2790932.449463491,3080758.4814634915
2025-08-20,3060693.717541093,3064656.1240410954,2975721.1850410895,2996296.890041092,2885305.9665410887,3092575.7655410916,2881221.9475410962,3026717.3635410997,2895548.034541095,2873315.610041096
2025-08-21,3099003.5343054747,3260023.905305474,2970884.576305482,3198332.057805475,3043001.1168054785,3079873.8943054783,2957391.6263054754,3104479.7443054775,3135818.4023054796,3311503.2258054754
2025-08-22,3049553.8570862934,2692330.959586298,3163140.0740862954,3049553.8570862934,2909223.358086301,2992868.486586301,3098321.733586298,3051356.8070862927,2965297.124086304,2899004.401086299
2025-08-23,3130199.632671577,2751471.633671575,3102645.631171574,3063882.813171579,3039331.8216715767,2914612.566671581,3000125.9221715815,3109860.8391715745,2994356.2456715754,3037252.101671577
2025-08-24,3092428.2934676697,3170874.564467668,3008405.5989676714,2998567.276967674,3030236.132967668,3089711.3394676694,3140476.206467669,3209921.0949676693,3113642.2194676697,3222904.6319676726
2025-08-25,2765177.829055477,3165730.1950554755,2989803.416555472,3194045.773555471,3142545.3745554737,3111085.137555477,3032534.3045554804,3008854.188055476,3091566.254055476,3089105.1905554743
2025-08-26,3134818.5518778046,3143047.4793778104,3213855.4803778077,3204080.0533778034,3137142.5833778107,3063997.7358778063,2993066.40637781,3228071.2418778036,3062839.288877806,2825381.192377806
2025-08-27,3104270.9254421885,3059216.5789421904,3086068.2074421966,3062599.4614421907,3083068.1269421945,2753851.7949421913,3144827.3324421914,2964645.6344421874,3197811.8304421855,2968265.4244421893
2025-08-28,3095502.0272835586,3100783.303283561,3054674.9627835583,3217795.559283556,2963911.2017835584,2994786.131283565,3139256.779783561,3306736.802783566,3080029.5802835613,2948370.11828356
2025-08-29,3218731.8987313705,2839644.868731367,3144587.2112313593,2994868.683231369,3118677.332231367,2974056.967731373,3162459.1207313645,3127788.3962313686,3218448.8112313724,3057403.634731365
2025-08-30,2997217.468303976,3094663.624803976,3031907.1248039743,2997729.685803973,3184127.9393039765,3004176.9423039733,3096036.336303978,3077214.171303975,3068239.5908039673,3071777.690803973
